OID_,Value
1,837.6206055
2,1062.27063
3,980.1709595
4,965.0360107
5,1157.885986
6,810.6670532
7,1016.102051
8,1098.882202
9,1294.685669
10,1048.526733
11,1293.761841
12,1285.977539
13,1306.522705
14,1063.046997
15,1106.568481
16,1245.053345
17,958.3258057
18,956.1112061
19,829.5869751
20,1227.678955
21,1467.471191
22,1358.468994
23,1066.091553
24,1165.769653
25,680.2668457
26,1044.582275
27,1240.92627
28,892.5131226
29,1331.942139
30,1445.379639
31,1498.286499
32,1428.388184
33,1122.632202
34,1054.940186
35,1276.759766
36,699.3363037
37,1117.704346
38,1390.943481
39,909.8198242
40,1434.494385
41,1568.855347
42,1566.770264
43,1377.262817
44,1073.306763
45,1585.384033
46,1196.485474
47,757.6853638
48,1254.309448
49,1400.059814
50,1186.791138
51,1299.348633
52,1517.072754
53,1696.633667
54,1393.819946
55,1057.441406
56,1486.707764
57,1526.94165
58,1081.042847
59,1097.322266
60,1241.698608
61,1107.746826
62,1254.341919
63,927.6644287
64,1181.978638
65,1172.261108
66,1422.06189
67,1029.256958
68,1413.004761
69,1298.874512
70,1489.903564
71,1423.402222
72,848.0654907
73,1231.339844
74,1393.781494
75,960.1138916
76,920.7341309
77,856.3416138
78,999.4793701
79,950.9990234
80,1108.998291
81,1694.297119
82,1106.915405
83,867.0409546
84,1303.115601
85,1543.786743
86,1276.216919
87,863.3496704
88,1299.988403
89,1326.073242
90,1124.473389
91,956.0883789
92,847.5631104
93,1412.572998
94,922.0023193
95,1266.911377
96,1190.601563
97,933.7494507
98,1379.429199
99,1432.34668
100,1323.540161
101,1152.565308
102,1288.762207
103,799.9801636
104,896.3591309
105,1372.492798
106,1058.668945
107,1291.313599
108,1145.706421
109,1145.574219
110,1381.080566
111,1419.539063
112,1208.347412
113,1003.116394
114,1150.583862
115,1480.177856
116,782.1166992
117,877.6028442
118,1178.367188
119,1006.601868
120,1210.079224
121,1191.942627
122,1418.354736
123,1432.256226
124,962.9552612
125,1536.907471
126,1538.575439
127,1280.05127
128,941.3285522
129,995.4727783
130,1412.977661
131,1499.53125
132,973.0662231
133,1463.744141
134,1517.091431
135,1020.973267
136,1070.362061
137,1288.444092
138,1249.689087
139,1495.378052
140,1597.678955
141,1109.621948
142,1218.696167
143,869.7636108
144,1178.928833
145,1160.03064
146,1364.080933
147,801.7436523
148,830.1998291
149,1124.577393
150,1305.092407
151,1318.957764
152,1227.016235
153,1666.777344
154,1321.12561
155,873.8609009
156,1068.307739
157,1418.192139
158,1284.037476
159,1407.704956
160,1387.778687
161,1114.390869
162,1170.382935
163,1010.90918
164,1320.421387
165,1628.584839
166,1497.800415
167,1285.506592
168,1275.047363
169,1345.813477
170,1229.991211
171,1129.693726
172,1132.497681
173,1353.432129
174,1068.589355
175,1036.105225
176,1218.066284
177,1180.838379
178,1134.399658
179,1070.116943
180,1279.275391
181,1440.539307
182,1262.249634
183,1367.666992
184,1360.996216
185,1498.617432
186,1632.21167
187,1095.75415
188,1443.596924
189,878.8858643
190,956.8416138
191,932.8272095
192,1161.579834
193,1351.207642
194,1431.610107
195,1432.839478
196,1408.361328
197,1448.180176
198,1732.349609
199,1293.074341
200,1366.593506
201,1507.099487
202,1391.672119
203,1304.501831
204,776.8633423
205,1138.641968
206,1025.046143
207,1167.049438
208,931.9279785
209,1310.593384
210,1281.308105
