OID_,Value
1,644.9754639
2,715.0651245
3,700.9842529
4,699.3098145
5,667.5075073
6,731.4536743
7,745.6103516
8,752.918396
9,747.9168701
10,684.2127686
11,793.3452148
12,866.5530396
13,971.7747803
14,794.2804565
15,940.6777344
16,760.1294556
17,640.5787964
18,752.137085
19,809.2681274
20,825.6936646
21,1023.904785
22,1056.129028
23,839.8195801
24,1053.835815
25,759.0814819
26,709.1033325
27,731.0547485
28,811.4730835
29,886.9199829
30,1120.19165
31,1003.805786
32,952.7479248
33,954.4255981
34,964.7327271
35,847.8101807
36,914.0432129
37,551.4225464
38,654.8683472
39,733.0611572
40,756.4934692
41,900.9439087
42,950.3450928
43,1268.818848
44,1004.747864
45,985.4953003
46,1062.986572
47,1040.899658
48,1108.531006
49,1175.233887
50,624.4595947
51,638.7564087
52,766.8826904
53,909.7015381
54,894.8276978
55,985.2492065
56,1144.73877
57,1077.673584
58,953.18396
59,981.6257324
60,1107.490112
61,1234.88623
62,1253.622437
63,963.6737061
64,576.3132324
65,736.4006958
66,961.8260498
67,935.7383423
68,1163.171265
69,1165.706299
70,1123.206299
71,1025.346069
72,1063.916748
73,1031.124634
74,933.7296753
75,1451.187256
76,962.6083374
77,934.8395386
78,1206.395386
79,827.5910034
80,359.7835083
81,425.6376038
82,669.7692871
83,908.3711548
84,1013.234375
85,1104.392212
86,1209.034058
87,1123.260742
88,1136.416504
89,1012.721497
90,1011.428772
91,1155.769653
92,1100.177124
93,1304.777466
94,988.2216797
95,931.354248
96,1301.139648
97,1128.625
98,271.2002258
99,235.9224243
100,852.8287964
101,1431.029663
102,1426.021484
103,1344.217285
104,1204.936157
105,1047.662476
106,1023.046997
107,1035.229858
108,1060.111572
109,1098.463745
110,1036.499634
111,1137.382202
112,1433.687256
113,954.7672119
114,1002.396912
115,926.1888428
116,79.58545685
117,1153.697144
118,1625.287842
119,1633.570435
120,1465.221924
121,1026.534302
122,1027.953003
123,1053.601318
124,1001.971069
125,1123.137329
126,1264.520386
127,1216.501221
128,1126.869995
129,985.1638184
130,998.9274902
131,898.7525024
132,1029.703735
133,13.28293228
134,2601.180176
135,1451.291504
136,1339.756714
137,1045.934204
138,981.7095947
139,1068.071777
140,1102.151978
141,1254.852905
142,1380.508179
143,1214.805908
144,1022.902161
145,976.3800049
146,1083.674561
147,977.8724365
148,842.2838745
149,910.401123
150,911.9430542
151,122.2993774
152,301.3568726
153,493.0805359
154,759.6691284
155,1607.904053
156,1842.218506
157,1482.684082
158,1147.735107
159,956.0249634
160,909.7958984
161,939.9310303
162,1493.137817
163,1490.710815
164,1288.233765
165,1009.92688
166,1101.533325
167,1300.861694
168,871.767334
169,941.5805054
170,1190.240845
171,883.5888062
172,930.7081299
173,811.5648804
174,465.7950745
175,453.2314453
176,780.0078125
177,1077.903931
178,1415.564453
179,1241.771851
180,1288.586792
181,1018.999817
182,853.203186
183,771.3739624
184,1138.042969
185,1620.719238
186,1604.039673
187,1035.530396
188,905.2507324
189,1284.021973
190,1360.743652
191,913.350647
192,911.8961182
193,1352.052979
194,966.7020264
195,795.1149902
196,928.2719116
197,110.1677017
198,226.5518188
199,489.525177
200,768.1517334
201,763.8370972
202,918.7331543
203,959.098877
204,1038.819458
205,1025.984375
206,976.9593506
207,802.132019
208,847.3156128
209,885.9869385
210,1823.80542
211,1840.330811
212,1090.707153
213,920.4277954
214,1150.267578
215,1410.639893
216,1295.460449
217,991.9692993
218,783.0574341
219,976.7466431
220,894.9728394
221,815.151001
222,105.9754944
223,216.2975769
224,343.2909241
225,423.109436
226,675.7283936
227,833.9211426
228,782.963623
229,736.7053223
230,867.6030884
231,958.3444214
232,1036.71167
233,867.8383179
234,854.6222534
235,812.1482544
236,1010.327209
237,1423.095459
238,1796.980957
239,1185.460205
240,904.2608032
241,1290.63501
242,1158.192139
243,1297.261597
244,859.2121582
245,1160.291504
246,822.0279541
247,1011.927979
248,861.0738525
249,787.9022827
250,1198.383179
251,210.1030426
252,352.0794983
253,419.1672974
254,497.4498596
255,628.663269
256,736.3804321
257,698.5290527
258,731.1525879
259,836.8045654
260,984.2015381
261,906.2419434
262,898.4279785
263,839.1394043
264,857.7070923
265,859.9649658
266,1360.687866
267,1247.087036
268,1521.886719
269,929.1257324
270,1489.83606
271,1263.872925
272,1306.881104
273,945.7207031
274,1071.281128
275,1140.54126
276,1103.713623
277,750.3502808
278,759.1520996
279,1259.686035
280,2884.105469
281,623.5033569
282,77.81362915
283,220.5737305
284,368.363678
285,444.303894
286,459.8308411
287,608.6522827
288,614.8726196
289,703.7462769
290,726.1004639
291,875.9653931
292,881.1829834
293,882.3084717
294,793.3771362
295,818.0037231
296,882.6419678
297,883.3271484
298,1055.24292
299,1429.929321
300,1421.936646
301,1165.729248
302,1543.112183
303,1396.127563
304,1277.745361
305,1107.125244
306,987.5809937
307,943.3439331
308,796.2235107
309,812.8460693
310,853.90802
311,1402.738892
312,2174.582764
313,768.9904175
314,715.1981201
315,282.9146423
316,454.5886536
317,470.0303955
318,558.911377
319,591.8381348
320,665.7987061
321,663.1715698
322,718.1489868
323,790.9609985
324,848.5522461
325,814.9204712
326,785.8347778
327,916.7352905
328,873.1619873
329,881.8999023
330,1104.247681
331,1158.586182
332,1115.521729
333,1336.959473
334,1549.756836
335,1536.172363
336,1374.292114
337,979.6968384
338,824.8939209
339,1139.788818
340,1006.13678
341,726.1455688
342,1009.311829
343,922.6461182
344,1367.268799
345,1616.907837
346,839.1124268
347,749.0581665
348,726.6031494
349,237.4981232
350,495.8676758
351,617.34021
352,589.697998
353,624.7905884
354,638.7573853
355,655.2163696
356,679.8447266
357,753.2703857
358,900.5667725
359,817.4143066
360,815.1465454
361,834.3283081
362,875.6859741
363,873.682312
364,1138.837646
365,1216.931763
366,1004.520569
367,1164.630859
368,1642.466187
369,1655.208008
370,1411.265991
371,934.6243286
372,961.1247559
373,1048.949097
374,1059.787964
375,797.4453735
376,1291.110352
377,1079.458862
378,964.9619141
379,1511.140381
380,1135.589722
381,849.8842163
382,743.5192261
383,781.4972534
384,718.3186646
385,745.0490723
386,805.4364624
387,660.1340332
388,655.7850342
389,655.8252563
390,639.7283325
391,626.1421509
392,668.5365601
393,740.3839722
394,842.5672607
395,857.2865601
396,773.092041
397,837.0110474
398,813.8953247
399,1075.062622
400,1083.873535
401,1033.755859
402,1216.011719
403,1209.597534
404,1610.341431
405,1799.59729
406,1097.278931
407,1041.465332
408,1150.7229
409,885.7401733
410,1119.148071
411,1357.903442
412,864.1809692
413,1021.267456
414,1294.171875
415,1019.938904
416,794.618042
417,766.3932495
418,748.7785034
419,746.9613647
